Mississippi,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,MS
Mississippi,FORD,C-MAX ENERGI,2013,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,CHEVROLET,VOLT,2015,Plug-in Hybrid Electric Vehicle (PHEV),38,MS
Mississippi,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,MS
Mississippi,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,TOYOTA,PRIUS PRIME,2018,Plug-in Hybrid Electric Vehicle (PHEV),25,MS
Mississippi,MITSUBISHI,OUTLANDER PHEV,2019,Plug-in Hybrid Electric Vehicle (PHEV),22,MS
Mississippi,HONDA,CLARITY,2018,Plug-in Hybrid Electric Vehicle (PHEV),47,MS
Mississippi,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,MS
Mississippi,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,MS
Mississippi,MITSUBISHI,OUTLANDER PHEV,2019,Plug-in Hybrid Electric Vehicle (PHEV),22,MS
Mississippi,BMW,X5 XDRIVE40E,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,2015,Battery Electric Vehicle (BEV),68,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,MITSUBISHI,OUTLANDER PHEV,2019,Plug-in Hybrid Electric Vehicle (PHEV),22,MS
Mississippi,KIA,SOUL,2017,Battery Electric Vehicle (BEV),93,MS
Mississippi,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,MS
Mississippi,BMW,I3,2015,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,BMW,I3,2017,Plug-in Hybrid Electric Vehicle (PHEV),97,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,MS
Mississippi,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,MS
Mississippi,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,FIAT,500E,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,MS
Mississippi,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,MS
Mississippi,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,MS
Mississippi,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,BMW,I3,2015,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,CHEVROLET,VOLT,2012,Plug-in Hybrid Electric Vehicle (PHEV),35,MS
Mississippi,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,MS
Mississippi,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,BMW,X5 XDRIVE40E,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,FORD,FUSION ENERGI,2014,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,FORD,C-MAX ENERGI,2013,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,FIAT,500E,2014,Battery Electric Vehicle (BEV),87,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,FIAT,500E,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,VOLKSWAGEN,E-GOLF,2019,Battery Electric Vehicle (BEV),125,MS
Mississippi,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,BMW,I3,2014,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,BMW,I3,2014,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,MITSUBISHI,I-MIEV,2016,Battery Electric Vehicle (BEV),62,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,MS
Mississippi,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,MS
Mississippi,HONDA,CLARITY,2020,Plug-in Hybrid Electric Vehicle (PHEV),47,MS
Mississippi,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,MS
Mississippi,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,KIA,SOUL,2016,Battery Electric Vehicle (BEV),93,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,BMW,X5 XDRIVE40E,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,MS
Mississippi,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,VOLVO,XC60 AWD PHEV,2019,Plug-in Hybrid Electric Vehicle (PHEV),17,MS
Mississippi,TOYOTA,PRIUS,2013,Plug-in Hybrid Electric Vehicle (PHEV),6,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,MS
Mississippi,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,MS
Mississippi,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,MS
Mississippi,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,FORD,C-MAX ENERGI,2014,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,TOYOTA,PRIUS,2012,Plug-in Hybrid Electric Vehicle (PHEV),6,MS
Mississippi,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,FORD,C-MAX ENERGI,2014,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,BMW,I3,2015,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,SUBARU,CROSSTREK HYBRID AWD,2019,Plug-in Hybrid Electric Vehicle (PHEV),17,MS
Mississippi,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,MS
Mississippi,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,MS
Mississippi,AUDI,A3 E-TRON,2017,Plug-in Hybrid Electric Vehicle (PHEV),16,MS
Mississippi,FORD,FUSION ENERGI,2013,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,MINI,COOPER,2021,Battery Electric Vehicle (BEV),110,MS
Mississippi,BMW,I3,2016,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,MS
Mississippi,CHEVROLET,BOLT EV,2020,Battery Electric Vehicle (BEV),259,MS
Mississippi,FIAT,500E,2013,Battery Electric Vehicle (BEV),87,MS
Mississippi,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,MS
Mississippi,FORD,FUSION ENERGI,2015,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,TOYOTA,PRIUS,2014,Plug-in Hybrid Electric Vehicle (PHEV),6,MS
Mississippi,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,MS
Mississippi,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,2013,Battery Electric Vehicle (BEV),68,MS
Mississippi,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,MS
Mississippi,CHEVROLET,VOLT,2016,Plug-in Hybrid Electric Vehicle (PHEV),53,MS
Mississippi,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,MS
Mississippi,FORD,FUSION ENERGI,2016,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,MS
Mississippi,CHEVROLET,VOLT,2014,Plug-in Hybrid Electric Vehicle (PHEV),38,MS
Mississippi,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,MS
Mississippi,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,MS
Mississippi,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,MS
Mississippi,AUDI,A3 E-TRON,2017,Plug-in Hybrid Electric Vehicle (PHEV),16,MS
Mississippi,FORD,FOCUS,2014,Battery Electric Vehicle (BEV),76,MS
Mississippi,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,MS
Mississippi,TESLA,MODEL S,2014,Battery Electric Vehicle (BEV),208,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,MS
Mississippi,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,MS
Mississippi,VOLVO,XC60 AWD PHEV,2019,Plug-in Hybrid Electric Vehicle (PHEV),17,MS
Mississippi,AUDI,A3 E-TRON,2018,Plug-in Hybrid Electric Vehicle (PHEV),16,MS
Mississippi,MITSUBISHI,OUTLANDER - PHEV,2020,Plug-in Hybrid Electric Vehicle (PHEV),22,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,MS
Mississippi,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,MS
Mississippi,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,MS
Mississippi,PORSCHE,CAYENNE,2016,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,KIA,SOUL,2017,Battery Electric Vehicle (BEV),93,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,BMW,I3,2015,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,HONDA,CLARITY,2018,Plug-in Hybrid Electric Vehicle (PHEV),47,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,FORD,FUSION ENERGI,2016,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,HYUNDAI,SONATA,2017,Plug-in Hybrid Electric Vehicle (PHEV),27,MS
Mississippi,MINI,COOPER SE COUNTRYMAN ALL4,2018,Plug-in Hybrid Electric Vehicle (PHEV),12,MS
Mississippi,KIA,SOUL,2016,Battery Electric Vehicle (BEV),93,MS
Mississippi,TESLA,MODEL S,2013,Battery Electric Vehicle (BEV),208,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,CHEVROLET,BOLT,2018,Battery Electric Vehicle (BEV),238,MS
Mississippi,BMW,I8 COUPE,2016,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,VOLVO,XC60 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),17,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,VOLVO,XC60 AWD PHEV,2019,Plug-in Hybrid Electric Vehicle (PHEV),17,MS
Mississippi,BMW,I3,2018,Battery Electric Vehicle (BEV),114,MS
Mississippi,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,MS
Mississippi,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,MS
Mississippi,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,MS
Mississippi,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,MS
Mississippi,CHEVROLET,VOLT,2012,Plug-in Hybrid Electric Vehicle (PHEV),35,MS
Mississippi,KIA,SOUL,2015,Battery Electric Vehicle (BEV),93,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,VOLKSWAGEN,E-GOLF,2015,Battery Electric Vehicle (BEV),83,MS
Mississippi,BMW,I3,2014,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,FORD,C-MAX ENERGI,2013,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,MS
Mississippi,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,MS
Mississippi,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,MS
Mississippi,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,MS
Mississippi,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,MS
Mississippi,HYUNDAI,SONATA PLUG-IN HYBRID,2016,Plug-in Hybrid Electric Vehicle (PHEV),27,MS
Mississippi,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,MS
Mississippi,TESLA,MODEL X,2020,Battery Electric Vehicle (BEV),293,MS
Mississippi,CHEVROLET,VOLT,2014,Plug-in Hybrid Electric Vehicle (PHEV),38,MS
Mississippi,VOLVO,XC90 AWD,2016,Plug-in Hybrid Electric Vehicle (PHEV),13,MS
Mississippi,PORSCHE,CAYENNE,2019,Plug-in Hybrid Electric Vehicle (PHEV),13,MS
Mississippi,KIA,NIRO,2018,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,MS
Mississippi,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,MS
Mississippi,CHEVROLET,BOLT EV,2020,Battery Electric Vehicle (BEV),259,MS
Mississippi,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,MS
Mississippi,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,MS
Mississippi,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,MS
Mississippi,VOLVO,XC60 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),17,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,MINI,COOPER SE COUNTRYMAN ALL4,2019,Plug-in Hybrid Electric Vehicle (PHEV),12,MS
Mississippi,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,CHEVROLET,VOLT,2014,Plug-in Hybrid Electric Vehicle (PHEV),38,MS
Mississippi,BMW,I3,2015,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,TOYOTA,PRIUS,2012,Plug-in Hybrid Electric Vehicle (PHEV),6,MS
Mississippi,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,TOYOTA,PRIUS,2013,Plug-in Hybrid Electric Vehicle (PHEV),6,MS
Mississippi,MINI,COOPER SE COUNTRYMAN ALL4,2018,Plug-in Hybrid Electric Vehicle (PHEV),12,MS
Mississippi,VOLVO,XC90 AWD,2016,Plug-in Hybrid Electric Vehicle (PHEV),13,MS
Mississippi,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,MS
Mississippi,BMW,I8 COUPE,2019,Plug-in Hybrid Electric Vehicle (PHEV),18,MS
Mississippi,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,PORSCHE,CAYENNE,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,MS
Mississippi,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,MS
Mississippi,FORD,C-MAX ENERGI,2014,Plug-in Hybrid Electric Vehicle (PHEV),19,MS
Mississippi,KIA,NIRO,2018,Plug-in Hybrid Electric Vehicle (PHEV),26,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,MS
Mississippi,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,MS
Mississippi,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MS
Mississippi,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,TESLA,MODEL S,2013,Battery Electric Vehicle (BEV),208,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,MS
Mississippi,BMW,I3,2014,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,BMW,I3,2015,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MS
Mississippi,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,2017,Battery Electric Vehicle (BEV),58,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,MS
Mississippi,BMW,I3,2017,Plug-in Hybrid Electric Vehicle (PHEV),97,MS
Mississippi,FIAT,500E,2016,Battery Electric Vehicle (BEV),84,MS
Mississippi,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,MS
Mississippi,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,MS
Mississippi,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,MS
Mississippi,MINI,COOPER SE COUNTRYMAN ALL4,2019,Plug-in Hybrid Electric Vehicle (PHEV),12,MS
Mississippi,CHEVROLET,BOLT,2018,Battery Electric Vehicle (BEV),238,MS
Mississippi,TESLA,MODEL S,2014,Battery Electric Vehicle (BEV),208,MS
Mississippi,FORD,FUSION ENERGI,2017,Plug-in Hybrid Electric Vehicle (PHEV),21,MS
Mississippi,MINI,COOPER SE COUNTRYMAN ALL4,2019,Plug-in Hybrid Electric Vehicle (PHEV),12,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,BMW,I3,2016,Plug-in Hybrid Electric Vehicle (PHEV),72,MS
Mississippi,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,MS
Mississippi,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,MS
Mississippi,PORSCHE,CAYENNE,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MS
Mississippi,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MS
Mississippi,TESLA,MODEL X,2020,Battery Electric Vehicle (BEV),293,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,MS
Mississippi,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,MS
Mississippi,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,MS
Mississippi,BMW,X5 XDRIVE40E,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,PORSCHE,CAYENNE,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,MS
Mississippi,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,MS
Mississippi,FORD,FOCUS,2014,Battery Electric Vehicle (BEV),76,MS
Mississippi,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,MS
Mississippi,MINI,COOPER SE COUNTRYMAN ALL4,2019,Plug-in Hybrid Electric Vehicle (PHEV),12,MS
